raw,doc_id,constituency,index,id
Te llevas un antitranspirante rexona.,6e4f3118-0202-4b28-a127-848963e39eda,"{'label': 'ROOT', 'children': [{'label': 'sentence', 'children': [{'label': 'sn', 'children': [{'label': 'grup.nom', 'children': [{'label': 'PRON', 'children': [{'label': 'Te'}]}]}]}, {'label': 'grup.verb', 'children': [{'label': 'VERB', 'children': [{'label': 'llevas'}]}]}, {'label': 'sn', 'children': [{'label': 'spec', 'children': [{'label': 'DET', 'children': [{'label': 'un'}]}]}, {'label': 'grup.nom', 'children': [{'label': 'NOUN', 'children': [{'label': 'antitranspirante'}]}]}]}, {'label': 's.a', 'children': [{'label': 'grup.a', 'children': [{'label': 'ADJ', 'children': [{'label': 'rexona'}]}]}]}, {'label': 'PUNCT', 'children': [{'label': '.'}]}]}]}",0,87986b86-726c-4508-a9bc-c4e5ce146832
¿Están listos?,6e4f3118-0202-4b28-a127-848963e39eda,"{'label': 'ROOT', 'children': [{'label': 'sentence', 'children': [{'label': 'PUNCT', 'children': [{'label': '¿'}]}, {'label': 'grup.verb', 'children': [{'label': 'AUX', 'children': [{'label': 'Están'}]}]}, {'label': 's.a', 'children': [{'label': 'grup.a', 'children': [{'label': 'ADJ', 'children': [{'label': 'listos'}]}]}]}, {'label': 'PUNCT', 'children': [{'label': '?'}]}]}]}",1,cedb66fb-dd64-4434-82b4-f31b0b766ea1
¡Va! ¿Cuál es tu nombre?,6e4f3118-0202-4b28-a127-848963e39eda,"{'label': 'ROOT', 'children': [{'label': 'sentence', 'children': [{'label': 'PUNCT', 'children': [{'label': '¡'}]}, {'label': 'grup.verb', 'children': [{'label': 'VERB', 'children': [{'label': 'Va'}]}, {'label': 'PUNCT', 'children': [{'label': '!'}]}]}, {'label': 'S', 'children': [{'label': 'PUNCT', 'children': [{'label': '¿'}]}, {'label': 'sn', 'children': [{'label': 'grup.nom', 'children': [{'label': 'PRON', 'children': [{'label': 'Cuál'}]}]}]}, {'label': 'grup.verb', 'children': [{'label': 'AUX', 'children': [{'label': 'es'}]}]}, {'label': 'sn', 'children': [{'label': 'spec', 'children': [{'label': 'DET', 'children': [{'label': 'tu'}]}]}, {'label': 'grup.nom', 'children': [{'label': 'NOUN', 'children': [{'label': 'nombre'}]}]}]}]}, {'label': 'PUNCT', 'children': [{'label': '?'}]}]}]}",2,cf7ea058-be88-4402-be97-6df71e06ad60
¿Tú crees que te puedes hacer 21 barritas?,6e4f3118-0202-4b28-a127-848963e39eda,"{'label': 'ROOT', 'children': [{'label': 'sentence', 'children': [{'label': 'PUNCT', 'children': [{'label': '¿'}]}, {'label': 'sn', 'children': [{'label': 'grup.nom', 'children': [{'label': 'PRON', 'children': [{'label': 'Tú'}]}]}]}, {'label': 'grup.verb', 'children': [{'label': 'VERB', 'children': [{'label': 'crees'}]}]}, {'label': 'S', 'children': [{'label': 'conj', 'children': [{'label': 'SCONJ', 'children': [{'label': 'que'}]}]}, {'label': 'sn', 'children': [{'label': 'grup.nom', 'children': [{'label': 'PRON', 'children': [{'label': 'te'}]}]}]}, {'label': 'grup.verb', 'children': [{'label': 'AUX', 'children': [{'label': 'puedes'}]}, {'label': 'infinitiu', 'children': [{'label': 'VERB', 'children': [{'label': 'hacer'}]}]}]}, {'label': 'sn', 'children': [{'label': 'spec', 'children': [{'label': 'NUM', 'children': [{'label': '21'}]}]}, {'label': 'grup.nom', 'children': [{'label': 'NOUN', 'children': [{'label': 'barritas'}]}]}]}]}, {'label': 'PUNCT', 'children': [{'label': '?'}]}]}]}",3,67fb68a7-dbc5-48fd-b643-807909666275
Sí.,6e4f3118-0202-4b28-a127-848963e39eda,"{'label': 'ROOT', 'children': [{'label': 'sentence', 'children': [{'label': 'sadv', 'children': [{'label': 'grup.adv', 'children': [{'label': 'INTJ', 'children': [{'label': 'Sí'}]}]}]}, {'label': 'PUNCT', 'children': [{'label': '.'}]}]}]}",4,3d53ef0b-0d21-46e5-b783-f21da662aeee
Y te llevas uno de nuestros rexona.,6e4f3118-0202-4b28-a127-848963e39eda,"{'label': 'ROOT', 'children': [{'label': 'sentence', 'children': [{'label': 'conj', 'children': [{'label': 'CCONJ', 'children': [{'label': 'Y'}]}]}, {'label': 'morfema.pronominal', 'children': [{'label': 'PRON', 'children': [{'label': 'te'}]}]}, {'label': 'grup.verb', 'children': [{'label': 'VERB', 'children': [{'label': 'llevas'}]}]}, {'label': 'sn', 'children': [{'label': 'grup.nom', 'children': [{'label': 'PRON', 'children': [{'label': 'uno'}]}, {'label': 'sp', 'children': [{'label': 'prep', 'children': [{'label': 'ADP', 'children': [{'label': 'de'}]}]}, {'label': 'sn', 'children': [{'label': 'spec', 'children': [{'label': 'DET', 'children': [{'label': 'nuestros'}]}]}, {'label': 'grup.nom', 'children': [{'label': 'NOUN', 'children': [{'label': 'rexona'}]}]}]}]}]}]}, {'label': 'PUNCT', 'children': [{'label': '.'}]}]}]}",5,4d1b090a-33e0-4ce0-8dda-c5cbe44ebba4
¡Guau! 13.,6e4f3118-0202-4b28-a127-848963e39eda,"{'label': 'ROOT', 'children': [{'label': 'sentence', 'children': [{'label': 'PUNCT', 'children': [{'label': '¡'}]}, {'label': 'interjeccio', 'children': [{'label': 'INTJ', 'children': [{'label': 'Guau'}]}]}, {'label': 'PUNCT', 'children': [{'label': '!'}]}, {'label': 'sn', 'children': [{'label': 'grup.nom', 'children': [{'label': 'NUM', 'children': [{'label': '13'}]}]}]}, {'label': 'PUNCT', 'children': [{'label': '.'}]}]}]}",6,338b1af5-6fb4-4086-bc1a-38969e953996
¡A ver! ¡21! ¡Bien!,6e4f3118-0202-4b28-a127-848963e39eda,"{'label': 'ROOT', 'children': [{'label': 'sentence', 'children': [{'label': 'PUNCT', 'children': [{'label': '¡'}]}, {'label': 'conj', 'children': [{'label': 'sp', 'children': [{'label': 'prep', 'children': [{'label': 'ADP', 'children': [{'label': 'A'}]}]}, {'label': 'S', 'children': [{'label': 'infinitiu', 'children': [{'label': 'VERB', 'children': [{'label': 'ver'}]}]}]}]}]}, {'label': 'PUNCT', 'children': [{'label': '!'}]}, {'label': 'PUNCT', 'children': [{'label': '¡'}]}, {'label': 'NUM', 'children': [{'label': '21'}]}, {'label': 'PUNCT', 'children': [{'label': '!'}]}, {'label': 'PUNCT', 'children': [{'label': '¡'}]}, {'label': 'INTJ', 'children': [{'label': 'Bien'}]}, {'label': 'PUNCT', 'children': [{'label': '!'}]}]}]}",7,b2a85020-bdc6-49ae-99bb-103690b4a1ac
¡Lo has hecho rápido!,6e4f3118-0202-4b28-a127-848963e39eda,"{'label': 'ROOT', 'children': [{'label': 'sentence', 'children': [{'label': 'PUNCT', 'children': [{'label': '¡'}]}, {'label': 'sn', 'children': [{'label': 'grup.nom', 'children': [{'label': 'PRON', 'children': [{'label': 'Lo'}]}]}]}, {'label': 'grup.verb', 'children': [{'label': 'AUX', 'children': [{'label': 'has'}]}, {'label': 'VERB', 'children': [{'label': 'hecho'}]}]}, {'label': 's.a', 'children': [{'label': 'grup.a', 'children': [{'label': 'ADJ', 'children': [{'label': 'rápido'}]}]}]}, {'label': 'PUNCT', 'children': [{'label': '!'}]}]}]}",8,553bd6d6-7999-43ff-a988-501663e131ba
Aquí tienes tu rexona forest.,6e4f3118-0202-4b28-a127-848963e39eda,"{'label': 'ROOT', 'children': [{'label': 'sentence', 'children': [{'label': 'sadv', 'children': [{'label': 'grup.adv', 'children': [{'label': 'ADV', 'children': [{'label': 'Aquí'}]}]}]}, {'label': 'grup.verb', 'children': [{'label': 'VERB', 'children': [{'label': 'tienes'}]}]}, {'label': 'sn', 'children': [{'label': 'spec', 'children': [{'label': 'DET', 'children': [{'label': 'tu'}]}]}, {'label': 'grup.nom', 'children': [{'label': 'NOUN', 'children': [{'label': 'rexona'}]}, {'label': 'NOUN', 'children': [{'label': 'forest'}]}]}]}, {'label': 'PUNCT', 'children': [{'label': '.'}]}]}]}",9,eacda65e-c1b0-4079-9b2a-620459794fed
